,profitability,solvency,liquidity,valuation,efficiency
0,0.27284052441842743,-1.227659710932894,0.9235371262428689,1.5244616472203572,2.3799896214178125
1,0.19699272288130248,-1.2424301157680404,0.8873222722297421,1.5244616472203572,2.335093600579338
2,-0.19941539132135971,-1.237772740122215,0.9000291194741927,1.5244616472203572,2.164886008986949
3,-0.42392140698035136,-1.0603906390279425,1.2228181122064161,0.10722125706324274,2.1221271312227827
4,-0.02239406407802582,-1.0301806653343775,1.1316256802122537,0.14949926273627576,2.0943907308827976
5,-0.5775551379473127,-0.5427507916267208,0.6607162179590839,-0.3889790823062176,-0.5623449090206876
6,-0.4114145996492206,-0.6290457778093403,0.8813378165216803,-0.546805505515499,-0.461874346065096
7,-0.4715344651678803,-0.9394494911865284,1.0571738509498432,-0.20281790094689714,-0.5344169137678937
8,0.1296865072238318,-0.8515154207525517,0.6783589321685397,-0.3778962914645133,-0.4179376232539157
9,0.3346878953516412,-0.6298174567553565,0.2595890697371161,-0.10669124456949593,-0.2550862728236481
10,-0.0951274623058139,-0.5963260824063038,0.5670798118116952,-0.09620356562374115,-0.35930132417419675
11,-0.19066407237389854,-0.5724322787980013,0.5789258454056728,-0.25959905832345204,-0.40355571167449134
12,1.118524114921487,-0.6760475793701176,0.1414903380233521,-0.061563229565952886,-0.07524769073784407
13,2.062050478562221,-0.717742551597044,-0.17432827704811701,-0.1740199588066082,0.17383000118404543
14,0.870624818486751,-0.6389836437304952,-0.12997290890239324,-0.29026548544606484,-0.09160290644883198
15,0.1257184138273664,-0.5627711737039488,-0.19041493440028212,-0.360708969192511,-0.30776193266023577
16,0.4441012632902483,-0.077869218722373,-0.6329515287330628,-0.2567524544060439,-0.2658207881814358
17,-0.21878318877474978,0.2997827051294939,-0.35583012606175846,-0.4899725299677673,-0.43497909578693933
18,-0.258355712494514,-0.021849990712523373,-0.6158589863251801,-0.43240215830055034,-0.4811943222375253
19,-0.8964280139802321,0.5543282225564372,-0.5162876908192039,-0.33005155505813466,-0.6955969669275379
20,-0.7786966863024526,0.4593203752319802,-0.7143925940797095,-0.16411100272588525,-0.7588376616284337
21,-0.5703154761706979,0.8728793912977593,-0.23454416706714754,-0.18711311084426863,-0.7332013187943301
22,-0.6166963267247643,0.8221730717614164,-0.9016711238230106,-0.11967049987029953,-0.7192908084973615
23,-1.038413589556846,0.8360109526662772,-0.7590570009697093,-0.1476003710672417,-0.8906479125647903
24,0.4106396929007932,0.9752349371966944,-0.9918184122202085,-0.006585909278110073,-0.45450878138563594
25,-0.7009129382176974,1.714645417002072,-1.142318705191207,0.0056355764758106155,-0.839415674585519
26,-0.002346723796615255,2.2694403257398847,-0.9789843197362204,-0.013890351411923131,-0.6235893033140704
27,-0.05418363537605219,2.103722463497618,-0.77356193104168,0.01803232875784211,-0.6471714876237367
28,1.5612924593544115,2.3474974662771415,-0.7780114865235662,0.15992686799693487,-0.2569333421195676
