Unnamed: 0,
revenuegrowth,profitability
nopat,profitability
nopatmargin,profitability
investedcapital,solvency
investedcapitalturnover,solvency
investedcapitalincreasedecrease,solvency
freecashflow,liquidity
netnonopex,none
netnonopobligations,none
ebit,profitability
depreciationandamortization,none
ebitda,profitability
capex,solvency
dfcfnwc,liquidity
dfnwc,liquidity
nwc,liquidity
debt,none
ltdebtandcapleases,none
netdebt,none
totalcapital,none
bookvaluepershare,valuation
tangbookvaluepershare,valuation
marketcap,none
enterprisevalue,none
pricetobook,valuation
pricetotangiblebook,valuation
pricetorevenue,valuation
pricetoearnings,valuation
dividendyield,valuation
earningsyield,profitability
evtoinvestedcapital,solvency
evtorevenue,solvency
evtoebitda,solvency
evtoebit,solvency
evtonopat,solvency
evtoocf,solvency
evtofcff,solvency
ebitdagrowth,profitability
ebitgrowth,profitability
nopatgrowth,profitability
netincomegrowth,profitability
epsgrowth,profitability
ocfgrowth,liquidity
fcffgrowth,liquidity
investedcapitalgrowth,solvency
revenueqoqgrowth,solvency
ebitdaqoqgrowth,profitability
ebitqoqgrowth,profitability
nopatqoqgrowth,profitability
netincomeqoqgrowth,profitability
epsqoqgrowth,profitability
ocfqoqgrowth,liquidity
fcffqoqgrowth,liquidity
investedcapitalqoqgrowth,none
grossmargin,profitability
ebitdamargin,profitability
operatingmargin,profitability
ebitmargin,profitability
profitmargin,profitability
costofrevtorevenue,efficiency
sgaextorevenue,efficiency
rdextorevenue,efficiency
opextorevenue,efficiency
taxburdenpct,efficiency
interestburdenpct,efficiency
efftaxrate,efficiency
assetturnover,efficiency
arturnover,efficiency
invturnover,efficiency
faturnover,efficiency
apturnover,efficiency
dso,efficiency
dio,efficiency
dpo,efficiency
ccc,liquidity
finleverage,solvency
leverageratio,solvency
compoundleveragefactor,solvency
ltdebttoequity,solvency
debttoequity,solvency
roic,solvency
nnep,solvency
roicnnepspread,solvency
rnnoa,solvency
roe,efficiency
croic,efficiency
oroa,efficiency
roa,efficiency
noncontrollinginterestsharingratio,none
roce,efficiency
divpayoutratio,none
augmentedpayoutratio,none
ocftocapex,liquidity
stdebttocap,solvency
ltdebttocap,solvency
debttototalcapital,solvency
preferredtocap,none
noncontrolinttocap,none
commontocap,none
debttoebitda,solvency
netdebttoebitda,solvency
ltdebttoebitda,solvency
debttonopat,solvency
netdebttonopat,solvency
ltdebttonopat,solvency
altmanzscore,solvency
ebittointerestex,solvency
nopattointerestex,solvency
ebitlesscapextointerestex,solvency
nopatlesscapextointex,solvency
ocftointerestex,liquidity
ocflesscapextointerestex,liquidity
fcfftointerestex,liquidity
currentratio,liquidity
quickratio,liquidity
dfcfnwctorev,liquidity
dfnwctorev,liquidity
nwctorev,liquidity
normalizednopat,profitability
normalizednopatmargin,profitability
pretaxincomemargin,profitability
price,none
