Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Waitress""",5.0," Nov 15, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,I loved working there it was a easy and pleasant experience,When I was there management was a bit inconsistent,
"""Senior Manager""",4.0," Nov 10, 2017",Current,Senior Manager,"New York, NY",Yes,Neutral,Yes,Full-time,More than a year,Culture- Taking care of team members and building sales,Cash flow is liquid. Major decisions made by board of directors that are also majority stock holders. It's their money being spent so NRO's are not as frequent as other casual dining comapnies.,good life to work balance
"""Great job/company but at my location the managers have way too much discretion. If they have a bad day, you will too..""",4.0," Nov 9, 2017",Current,Server,"Columbia, MD",Yes,Neutral,Neutral,Full-time,Less than a year,High but still affordable and reasonable price per guest. Streamlined use of technology to make jobs easier.,Inconsistencies with rules and policies. Garlic knots are free in some instances but we charge 5$ for an appetizer order of only four pieces..,"Managers have way too much discretion. If they have a bad day, you will too.."
"""Decent company, mamangemt could be better""",3.0," Nov 23, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,More than a year,Tips<br>Will usually work around schedule<br>You can move up quickly if you apply yourself,Management needs better communication<br>Some managers aren’t willing to help employees when they’re busy,Communicate with fellow managers<br>Listen to employees concerns and don’t blow them off<br>Help your employees when they ask
"""Pretty ok place""",3.0," Nov 20, 2017",Current,Host,"Orlando, FL",Yes,Neutral,Neutral,Part-time,More than a year,"GM is great personable but firm and respectful, feels like being a part of a family",GM's attitude isn't shared amongst all managers. Staff can sometimes have harsh attitudes,
"""Manager""",4.0," Nov 3, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Very dynamic environment with a lot of different people and backgrounds,little pay and no motivation,
"""Takeout""",3.0," Nov 6, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Detailed training. Trainers really get you on your feet for when the restaurant opens. Free meal every shift. Good opportunity for growth.,Corporate and management are not on the same page. Managers can be condescending and/or inapropriate. Refuse to give a consistent schedule.,Get it together. Communicate with each other and your employees.
"""Great company""",5.0," Oct 22, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,Less than a year,Team-oriented with a focus on developing you into a better server,Assigned too many tables sometimes,
"""Awesome company""",5.0," Oct 20, 2017",Past,Cocktail Server,"Hurst, TX",Yes,Yes,Yes,Full-time,,"This restaurant runs like a well-oiled machine. The management is top of the line and always in sync with each other - which reflects on the atmosphere of the store and the amazing team work amongst the staff. If I still waited tables, I would want to do it here.",I don't think there were any.,
"""Lot's of opportunities for advancement""",4.0," Oct 21, 2017",Current,Anonymous Employee,,Neutral,Neutral,Neutral,Part-time,,"Team oriented environment, supportive management",The hourly rate for some jobs is too low.,
"""Takeout""",5.0," Oct 3, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,I Learned how to Operate a register &amp;customer service.,Long Hours to work under,more professionalism
"""Dishwasher""",2.0," Oct 19, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,"Fun, fast paced environment. Super easy job, not much to really do besides end of day clean up.",Managers severely lack any communication skills. Breaks are hardly ever actually given and are never in accordance with state laws.,
"""Fast Paced enviornment""",4.0," Oct 4, 2017",Current,Server,"Orlando, FL",Neutral,Neutral,Neutral,Part-time,More than a year,As a server you make decent money if you're good at what you do.,Working 8-9hrs without a break,
"""Great People, Terrible Management""",3.0," Oct 17, 2017",Past,Cocktail Server,"Dublin, CA",Yes,Yes,Yes,Part-time,More than 3 years,"Great first job, wonderful people to work with",Not good money<br>Terrible managment,Care about your employees more and give positive feedback rather than what they're doing wrong.
"""Good pay IF you work hard every single shift.""",4.0," Sep 30, 2017",Current,Server,"Lutz, FL",No,No,Neutral,Full-time,Less than a year,"Large sections, repeat customers, open late, large menu with varying selections, high priced items for food and drinks.",Management does not praise you at all and it is well known you are easily replaceable.,Praise your employees who do work hard every single shift and care about the business.
"""Quality is slipping""",3.0," Oct 14, 2017",Current,Anonymous Employee,,No,Yes,Neutral,Part-time,,- Flexible hours<br>-Great balance between work life and personal life,"-Management is awful, they don't do anything but walk around the restaurant<br>-Favoritism<br>-Quality and guest satisfaction are not prioritized",Just because you have a salary does not mean you don't have to work hard
