Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""I love working there""",5.0," Nov 27, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Great work environment, food safety is a high expectation",Can't really think of any,Work better at training crew members to push them into a new position
"""Good""",4.0," Nov 27, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,"Fun environment, quite an easy first job.",Extremely busy work environment. Lots of rushes and ransom activities,
"""chipotle review""",4.0," Nov 27, 2017",Current,Crew Member/Grill Cook,"Alexandria, VA",Yes,Neutral,Yes,Part-time,More than a year,great people and great benefits,Stressful if not good under pressure,
"""Chipotle""",5.0," Nov 27, 2017",Current,Cashier,"Sandusky, OH",Yes,Yes,Yes,Part-time,More than a year,"Free Food, Good Pay, And Benefits",I have nothing bad to say.,
"""chipotle review""",5.0," Nov 27, 2017",Past,Cashier,,Yes,Neutral,Yes,Full-time,More than 3 years,~while working one free meal<br>~ when dinning out 50% off,if your not use to moving at a fast pace you will not enjoy your job,
"""Great Opportunity and Experience""",4.0," Nov 26, 2017",Current,Apprentice General Manager,"Minneapolis, MN",Yes,Yes,Yes,,Less than a year,"Free food, ability to get promoted from within, great coworkers and management, fantastic benefits and compensation","Often short staffed, staying late",
"""Great company, great people""",4.0," Nov 26, 2017",Past,Cashier,"Solon, OH",Yes,Yes,Yes,Full-time,,"great place,good hours, great food","really none, I enjoyed working there and the people",yes I received a raise.
"""Not to bad""",4.0," Nov 26, 2017",Current,Crew Member,,Yes,Yes,Yes,Part-time,More than a year,the pay and other benefits,"the strict rules, not being able to hear customers over the glass",
"""Service""",4.0," Nov 20, 2017",Past,Panda Express,"Prattville, AL",Yes,Yes,Yes,,More than a year,Great hours and pay and they teach you a lot about yourself.,Customer service among the employees were not as appealing.,
"""Great experience""",4.0," Nov 18, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Good pay, met very nice customers and coworkers",There are not any cons,
"""hello""",4.0," Nov 19, 2017",Current,Anonymous Employee,,Yes,No,Neutral,Full-time,,"great mission, better food, better environment, better farming",leadership at the officer level needs to go,strategy
"""...""",5.0," Nov 18, 2017",Past,,,Yes,Neutral,Neutral,Full-time,Less than a year,Wonderful company to work for!,I didn’t have any cons,N/A
"""all in all I think its a great place to work for""",4.0," Oct 17, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,-work with great people<br>-free meal every day you work<br>-50% off discount when you come in on your day off<br>-they pay for 90% of college after you've worked there for a year<br>-paid sick days,-corporate changes the way things are done all the time<br>-Management picks and chooses who rules apply too,
"""Crew Member""",4.0," Nov 16, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,Flexible hours to accommodate school schedule,Discount only works at specific location you work at and not every chain.,
"""Team Member""",4.0," Nov 14, 2017",Past,Team Member,"Cedar Rapids, IA",Yes,Yes,Yes,Part-time,,"Clean, organized, friendly and plenty of opportunities to advance",Strict and a lot of pressure to perform correctly,"Be a bit more kinder when being strict, but overall a nice experience."
"""Great Company""",4.0," Nov 15, 2017",Past,General Manager,"Houston, TX",Yes,Neutral,Neutral,Full-time,More than 3 years,"It is a great company to work for . Started as a crew and moved up to GM. A lot of great people to work with , and benefits are great. Company really takes pride in making sure food and food safety are top priority.",Took away from the People Culture,Remind Managers to hire the perfect fit for your restaurant.
"""Amazing job""",4.0," Nov 14, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Sick days, Vacation days, request time off is always approved, work with great people, A LOT of room to improve and grow within the company","Gender wage gap, if you get a bad GM it will be a terrible experience",Lead how the old chipotle used to be
"""General manager""",5.0," Nov 12, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Pay is awesome !<br>Fun environment!<br>Chipotle cares about there employees,Promoting the wrong management<br>Wrong leaders in charge<br>A lot of stress if you are not set up for success,
