,name,count,pos
114,bad bad bad,2,
495,management completely incompetent,2,
123,team members like,2,
407,constantly running around,2,
1183,make anyone able,1,
1193,get passed lower,1,
1192,individuals get passed,1,
1191,working individuals get,1,
1190,hard working individuals,1,
1189,instead hard working,1,
1188,manager instead hard,1,
1187,enough manager instead,1,
1186,suck enough manager,1,
1185,able suck enough,1,
1184,anyone able suck,1,
1181,ideas company make,1,
1182,company make anyone,1,
1195,lower managers newer,1,
1180,voice ideas company,1,
1179,improve voice ideas,1,
1178,room improve voice,1,
1177,micromanaging room improve,1,
1176,much micromanaging room,1,
1175,promotes much micromanaging,1,
1174,managers promotes much,1,
1173,many managers promotes,1,
1172,needed many managers,1,
1171,together needed many,1,
1194,passed lower managers,1,
1196,managers newer ones,1,
1169,never seems together,1,
1210,customers blaming server,1,
1221,clientele horrible management,1,
1220,horrible clientele horrible,1,
1219,need horrible clientele,1,
1218,found need horrible,1,
1217,nowhere found need,1,
1216,managers nowhere found,1,
1215,incompetent managers nowhere,1,
1214,tips incompetent managers,1,
1213,lower tips incompetent,1,
1212,server lower tips,1,
1211,blaming server lower,1,
1209,frustrated customers blaming,1,
1197,newer ones especially,1,
1208,servers frustrated customers,1,
1207,kitchen servers frustrated,1,
1206,managers kitchen servers,1,
1205,communication managers kitchen,1,
1204,management communication managers,1,
1203,hypocriticalpoor management communication,1,
1202,extremely hypocriticalpoor management,1,
1201,rules extremely hypocriticalpoor,1,
1200,think rules extremely,1,
1199,especially think rules,1,
1198,ones especially think,1,
1170,seems together needed,1,
0,awful management stand,1,
1168,kitchen never seems,1,
1127,math based receipts,1,
1138,food runner correct,1,
1137,tip food runner,1,
1136,going tip food,1,
1135,waiter going tip,1,
1134,accordingly waiter going,1,
1133,tipped accordingly waiter,1,
1132,shift tipped accordingly,1,
1131,run shift tipped,1,
1130,food run shift,1,
1129,receipts food run,1,
1128,based receipts food,1,
1126,correctly math based,1,
1140,correct amount keep,1,
1125,manager correctly math,1,
1124,ends manager correctly,1,
1123,shift ends manager,1,
1122,tips shift ends,1,
1121,get tips shift,1,
1120,wait get tips,1,
1119,shouldnt wait get,1,
1118,runners shouldnt wait,1,
1117,food runners shouldnt,1,
1116,tipping food runners,1,
1115,tips tipping food,1,
1139,runner correct amount,1,
1141,amount keep money,1,
1222,horrible management horrible,1,
1155,restaurant business uncaring,1,
1166,reviews time kitchen,1,
1165,service reviews time,1,
1164,customer service reviews,1,
1163,terrible customer service,1,
1162,time terrible customer,1,
1161,complaints time terrible,1,
1160,many complaints time,1,
1159,workers many complaints,1,
1158,co workers many,1,
1157,uncaring co workers,1,
1156,business uncaring co,1,
1154,20years restaurant business,1,
1142,keep money also,1,
1153,heard 20years restaurant,1,
1152,ever heard 20years,1,
1151,system ever heard,1,
1150,ludicrous system ever,1,
1149,tips ludicrous system,1,
1148,home tips ludicrous,1,
1147,going home tips,1,
1146,runners going home,1,
1145,food runners going,1,
1144,also food runners,1,
1143,money also food,1,
1167,time kitchen never,1,
1223,management horrible flexibility,1,
1113,people skimming tips,1,
1292,though werent promotion,1,
1303,began fraternizing got,1,
1302,clearly began fraternizing,1,
1301,manager clearly began,1,
1300,kitchen manager clearly,1,
1299,boh kitchen manager,1,
1298,worked boh kitchen,1,
1297,never worked boh,1,
1296,dishwasher never worked,1,
1295,given dishwasher never,1,
1294,promotion given dishwasher,1,
1293,werent promotion given,1,
1291,even though werent,1,
1305,got job 2,1,
1290,book even though,1,
1289,everything book even,1,
1288,expected everything book,1,
1287,hits expected everything,1,
1286,rush hits expected,1,
1285,till rush hits,1,
1284,office till rush,1,
1283,hide office till,1,
1282,overpaid hide office,1,
1281,incompetent overpaid hide,1,
1280,completely incompetent overpaid,1,
1304,fraternizing got job,1,
1306,job 2 days,1,
1224,horrible flexibility horrible,1,
1320,horrible communication spineless,1,
1331,sure tip shifts,1,
1330,make sure tip,1,
1329,even make sure,1,
1328,management even make,1,
1327,5 management even,1,
1326,bar 5 management,1,
1325,tip bar 5,1,
1324,servers tip bar,1,
1323,snakes servers tip,1,
1322,spineless snakes servers,1,
1321,communication spineless snakes,1,
1319,joke horrible communication,1,
1307,2 days ive,1,
1318,management joke horrible,1,
1317,ever management joke,1,
1316,ive ever management,1,
1315,job ive ever,1,
1314,worst job ive,1,
1313,absolute worst job,1,
1312,places absolute worst,1,
1311,shady places absolute,1,
1310,worked shady places,1,
1309,ive worked shady,1,
1308,days ive worked,1,
1279,books management completely,1,
1278,system books management,1,
1277,put system books,1,
1237,twice amount work,1,
1248,hour time period,1,
1247,three hour time,1,
1246,handle three hour,1,
1245,person handle three,1,
1244,one person handle,1,
1243,lot one person,1,
1242,already lot one,1,
1241,expecting already lot,1,
1240,station expecting already,1,
1239,work station expecting,1,
1238,amount work station,1,
1236,horror twice amount,1,
1276,weeks put system,1,
1235,figured horror twice,1,
1234,left figured horror,1,
1233,trainers left figured,1,
1232,expected trainers left,1,
1231,work expected trainers,1,
1230,enough work expected,1,
1229,paid enough work,1,
1228,get paid enough,1,
1227,trainingyou get paid,1,
1226,horrible trainingyou get,1,
1225,flexibility horrible trainingyou,1,
1249,time period service,1,
1250,period service workplace,1,
1251,service workplace drama,1,
1252,workplace drama incompetent,1,
1275,2 weeks put,1,
1274,id 2 weeks,1,
1273,till id 2,1,
1272,waited till id,1,
1271,another waited till,1,
1270,delivering another waited,1,
1269,rate delivering another,1,
1268,one rate delivering,1,
1267,promising one rate,1,
1266,pay promising one,1,
1265,cheat pay promising,1,
1264,tried cheat pay,1,
1263,disappointed tried cheat,1,
1262,employer disappointed tried,1,
1261,previous employer disappointed,1,
1260,upgrade previous employer,1,
1259,thought upgrade previous,1,
1258,process thought upgrade,1,
1257,hiring process thought,1,
1256,biased hiring process,1,
1255,managers biased hiring,1,
1254,incompetent managers biased,1,
1253,drama incompetent managers,1,
1114,skimming tips tipping,1,
1112,leads people skimming,1,
1333,shifts long closing,1,
960,one year started,1,
971,treatment lost lot,1,
970,medications treatment lost,1,
969,due medications treatment,1,
968,cancer due medications,1,
967,liver cancer due,1,
